sku_id,product_name,user_type,2111416,2115480,2128681,2110602,2114377,2112316,2110594,2113820,2110572,2110824,2115532,2114475,2113885,2127867,2125000,2110599,2116834,2125300,2115567,2116446,2125450,2127913,2126886,2127502,2110597,2111618,2111503,2128167,2124909,2127370,2115099,2110603,2112309,2126992,2127534,2110231,2112331,2112056,2114458,2112605,2127761,2111122,2110240,2111500,2123927,2127096,2113318,2128458,2125015,2116054,2112372,2116435,2128457,2110648,2113308,2111017,2110646,2129005,2127574,2112178,2113342,2113630,2126813,2125594,2115874,2126754,2113734,2128460,2127282,2127337,2127291,2125534,2127285,2110268,2124566,2114700,2112298,2112837,2114207,2114485,2114646,2126626,2127084,2112810,2101125,2100332,2118726,2111661,2129038,2112489,2110285,2123899,2111379,2127897,2126459,2118281,2114922,2110400,2124321,2127516,2112536,2110442,2127896,2110446,2127524,2115858,2112200,2123686,2115584,2111295,2110555,2116121,2124932,2110327,2127735,2124234,2113393,2127389,2113413,2115274,2115622,2129041,2110308,2112468,2125128,2110315,2128174,2110833,2126617,2110595,2115155,2113284,2129240,2129484,2127309,updatedDate,insertedDate
fbr01du0102p07v2,FORTUNE EVERYDAY ROZANA STEAM 4X5KG BAG,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,0,80,0,0,12,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01du0102p04,FORTUNE EVERYDAY ROZANA STEAM 20X1 KG,Individual,,,,,,,550,,,,,,,,40,20,,,15,,,,,,220,,,,,,,,,,,15,15,10,15,9,19,0,0,0,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,80,200,60,194,3003,120,100,,,,,,,0,,32,32,32,32,,,,0,0,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,100,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01du0102p04v2,FORTUNE EVERYDAY ROZANA STEAM 20X1KG BAG,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01hr0102p04,FORTUNE EVERYDAYB RICE ST FG 20X1KG PH,Individual,0,0,0,,,22,300,,0,0,,0,,15,240,60,30,0,25,15,9,,0,,240,,,,510,,24,27,,26,32,10,10,20,10,10,19,97,50,19,3,14,10,5,3,1,3,3,3,,,,,,,,,,,,,794,180,231,300,80,80,80,80,80,60,0,0,2,280,100,0,,,,,,,0,0,3,3,3,3,39,10,40,46,0,,,,,20,19,,57,0,140,160,0,20,20,200,,,0,0,200,,,,200,400,200,200,100,0,0,0,,200,,,100,100,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01du0102p07,Fortune EverydayBRICE ST DU 4x5KG PP BAG,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,0,,,,242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr01hr0102b07,FORTUNE EVRYDAYB RICE ST FG 4X5KG PP BAG,Individual,0,0,0,0,,10,26,0,0,0,0,0,,25,16,8,25,16,32,13,51,,0,,16,,,,142,,34,18,,62,26,9,5,5,0,10,0,10,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,6,6,6,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,0,,40,,,,100,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
eblen75j07,FORTUNE GN ACTIV 4 X 5 LT JAR,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,4,,,,20,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
eblen75p03,FORTUNE GN ACTIV 12 X 1 LT PCH,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,120,105,120,30,30,24,60,36,,,,8,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,9,9,9,,,,83,,,,,,,,,,,,,0,40,60,120,,30,50,50,120,,,,120,,,0,60,,,,,,,,,180,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
fbr06hr0104p04,FORTUNE HAMESHA BRICE BL BN 20X1 KG BAG,Individual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
ekgmo01j07,FORTUNE KGMO 4 X 5 LT JAR,Individual,9,170,230,520,160,650,100,30,5598,26,138,1600,110,,68,84,710,28,,,500,,0,,312,420,,,76,,,,,,,0,0,3,0,0,0,0,0,7,7,5,10,4,5,3,5,5,5,20,,,4,,,20,20,19,20,,20,,,,,,,140,,,,,,,22,,,,,,,,,10,0,12,12,12,12,,,,,0,20,0,20,,,59,16,,,,,,,,,,,,,,,,,,,,,,0,199,2500,204,100,804,20,,,2020-08-25T16:34:23.498Z,2020-08-25T16:34:23.498Z
